FCI 10,Arabian Greyhound,11,7,5,39,3
FCI 10,Polish Greyhound,11,2,3,22,3
FCI 5,Peruvian Hairless Large,9,9,12,9,3
FCI 8,Chesapeake Bay Retriever,3,16,7,7,3
FCI 2,Yugoslavian Shepherd Dog-Sharplanina,2,,8,5,3
FCI 2,Spanish Mastiff,6,5,2,2,3
FCI 5,Canaan Dog,2,,5,,3
FCI 5,Hokkaido,1,4,2,,3
FCI 5, ,,,,,3
FCI 3,American Toy Fox Terrier,,3,6,25,2
FCI 2,Serra da estrela Mountain Dogs,25,17,8,16,2
FCI 5,Giant Spitz,,13,6,10,2
FCI 7,Blue Picardy Spaniel,,1,1,7,2
FCI 6,Anglo-Russian Hound,,,,7,2
FCI 6,Italian Hound Coarse-haired,,11,10,2,2
FCI 3,Rat Terrier,,,2,2,2
FCI 3,ratonero bodeguero andaluz,,4,1,2,2
FCI 7,French wire-haired Korthals Pointing griffon,6,9,8,1,2
FCI 6,Blue Gascony Basset,1,1,,1,2
FCI 5,Portuguese Warren Dog Medium Wire-haired,7,5,,,2
FCI 6,Bosanski Ostrodlaki Gonic Barak,,2,,16,1
FCI 6,Småland Hound,7,,7,9,1
FCI 1,Catalan Sheepdog,1,,,8,1
FCI 6,Poitevin,,1,,4,1
FCI 5,Thai Ridgeback,2,13,8,1,1
FCI 6,Norwegian Hound,1,,1,,1
FCI 1,Komondor,,8,,,1
FCI 6,Griffon Fauve de Bretagne,,8,,,1
FCI 7,Slovakian Wire-haired Pointing Dog,1,6,,,1
FCI 7,Old Danish Pointer,,1,,,1
FCI 7, ,,,,,1
FCI 6,Lucerne Hound,,,,,1
FCI 6,Coarse-haired Istrian Hound,2,14,9,19,
FCI 2,Uruguayan Cimarron,,1,,12,
FCI 6,Short-haired Italian Hound,8,1,,9,
FCI 6,Black & Tan Coon Hound,7,3,8,7,
FCI 6,"Swiss Hound, Bernese Hound",,7,,6,
FCI 5,Podengo Portuguese Smooth-haired Medium size,6,5,,4,
FCI 5,Greenland Dog,3,5,9,3,
FCI 10,Spanish Greyhound,3,1,2,3,
FCI 2,Majorca Mastiff,,1,,3,
FCI 1,Bergamasco Shepherd Dog,1,,4,2,
FCI 2,Napolitan Mastiff,3,1,,2,
FCI 6,Alpine Dachsbracke,,,2,1,
FCI 7,Spaniel de Pont-Audemer,,8,,1,
FCI 7,French Pointing Dog-Pyrenean type,,,,1,
FCI 2,Aidi,,,,1,
FCI 3,Japanese Terrier,,,,1,
FCI 6,Porcelaine,,,,1,
FCI 2,Fila Brasileiro,1,5,5,,
FCI 6,Blood Hound,,18,2,,
FCI 6,Otterhound,,10,2,,
FCI 5,Korea Jindo Dog,,,1,,
FCI 1,Croatian Sheepdog,,,1,,
FCI 6,Schiller Hound,,,1,,
FCI 5,Norwegian Elkhound Black,,,1,,
FCI 6,"Swiss Hound, Schwyz Hound",,1,,,
FCI 8,Sussex Spaniel,,1,,,
FCI 5,Podengo Portuguese Smooth-haired Large,,1,,,
FCI 6,Grand Griffon Vendéen,14,,,,
FCI 6,Hygen Hound,1,,,,
FCI 2,Karst Shepherd Dog,1,,,,
FCI 7,Portuguese Pointing Dog,1,,,,
,Total,46409,46915,46279,46611,45748
